150 PA5-A-Debug-Output.txt 6
  112.7315    50.1884    56.7801    47.1960   -58.6505   -22.0449
   -3.86    -0.52   -36.69           -3.85    -0.52   -36.69     0.007
   -8.09   -17.14    -7.05           -8.09   -17.14    -7.05     0.003
   -1.97    15.45     3.99           -1.97    15.46     3.99     0.006
    8.56    22.90    15.87            8.56    22.90    15.87     0.004
  -30.77     5.40   -37.92          -30.77     5.40   -37.92     0.004
   24.62    18.14    13.64           24.61    18.13    13.64     0.013
  -26.46    10.44   -29.73          -26.46    10.44   -29.73     0.001
   27.26    19.82    -9.82           27.25    19.81    -9.81     0.018
   24.14    22.20    -4.94           24.13    22.18    -4.93     0.026
  -28.06   -16.95   -47.13          -28.06   -16.95   -47.12     0.011
  -13.48   -23.88   -44.17          -13.49   -23.88   -44.16     0.007
  -42.93    -7.74   -23.62          -42.93    -7.74   -23.62     0.008
  -16.84    16.88    28.54          -16.83    16.89    28.53     0.013
   31.58   -11.94   -20.91           31.58   -11.99   -20.89     0.055
    7.07    -2.89   -23.28            7.07    -2.89   -23.27     0.005
   28.82     2.88    26.91           28.82     2.88    26.91     0.004
   31.60    -5.77   -27.30           31.62    -5.41   -27.46     0.398
   -8.41     8.28   -21.06           -8.41     8.28   -21.06     0.000
   -3.98   -20.86   -15.12           -3.98   -20.86   -15.12     0.006
   14.16     1.88   -21.04           14.17     1.87   -21.03     0.012
    0.29    -9.05    16.46            0.29    -9.05    16.46     0.001
   14.64    16.87    68.97           14.64    16.87    68.98     0.009
   27.67     6.73    29.69           27.68     6.73    29.70     0.006
  -20.48   -13.56   -48.28          -20.48   -13.56   -48.28     0.001
   -1.27    -7.80    27.60           -1.27    -7.81    27.60     0.004
  -18.91   -32.31   -21.81          -18.91   -32.31   -21.81     0.003
   25.09    -1.72    35.19           25.10    -1.72    35.20     0.011
  -13.20     6.53    12.07          -13.21     6.53    12.06     0.003
   33.22     0.37   -26.54           33.21     0.37   -26.53     0.009
   35.17    12.11    -9.69           35.16    12.10    -9.68     0.023
   -8.65   -18.46    -7.88           -8.65   -18.46    -7.88     0.000
   24.32    -4.90    18.22           24.32    -4.93    18.22     0.031
   -2.08    -8.00    25.75           -2.08    -8.00    25.75     0.002
    8.72    16.95   -14.28            8.72    16.95   -14.28     0.002
   40.21     6.27    -6.94           40.20     6.27    -6.94     0.012
   21.74   -13.97   -20.28           21.74   -14.01   -20.28     0.046
  -21.83    11.05   -31.90          -21.83    11.05   -31.90     0.004
   -2.98   -23.43   -26.15           -2.99   -23.42   -26.15     0.008
   20.53    14.38    51.11           20.53    14.39    51.11     0.010
  -30.69     3.66   -40.02          -30.69     3.66   -40.02     0.004
   32.67    16.39     1.70           32.66    16.37     1.70     0.022
   -6.79    -5.43    17.69           -6.79    -5.43    17.69     0.003
   20.74    15.36   -28.70           20.74    15.35   -28.69     0.014
    4.75    11.98    -8.34            4.75    11.98    -8.34     0.002
  -37.00   -23.31   -22.29          -37.00   -23.30   -22.29     0.004
   11.56    -4.42    19.80           11.56    -4.42    19.80     0.002
  -45.18   -10.90   -31.79          -45.17   -10.90   -31.79     0.008
  -26.17   -12.42    -6.35          -26.17   -12.42    -6.36     0.006
  -27.89   -14.40    -7.28          -27.89   -14.40    -7.28     0.003
  -29.88    -1.80   -44.97          -29.88    -1.80   -44.96     0.007
  -32.52    -0.59   -42.45          -32.52    -0.59   -42.45     0.000
   17.50   -13.21    -5.48           17.51   -13.21    -5.47     0.012
   14.39     6.64   -19.27           14.40     6.64   -19.27     0.011
   19.08    -3.30    59.36           19.08    -3.30    59.36     0.000
    0.36   -10.25   -34.92            0.35   -10.25   -34.92     0.004
   -4.05   -24.31   -31.11           -4.06   -24.30   -31.11     0.001
    6.03    17.37    -8.58            6.04    17.37    -8.58     0.006
   20.41   -11.46    -6.19           20.41   -11.48    -6.18     0.023
  -11.87    -3.55   -46.40          -11.87    -3.55   -46.39     0.007
   -8.71     3.44    64.33           -8.71     3.44    64.33     0.001
  -43.90   -14.85   -28.48          -43.90   -14.85   -28.48     0.001
  -35.20     5.63   -28.80          -35.21     5.63   -28.80     0.004
   37.60     0.19     6.42           37.62     0.18     6.43     0.024
   18.89    12.86   -30.38           18.89    12.86   -30.39     0.015
   -3.32    14.37     4.09           -3.32    14.38     4.09     0.007
   -1.06    16.20    51.82           -1.08    16.22    51.82     0.027
   35.05    -1.80   -22.10           35.05    -1.80   -22.10     0.008
   -3.50   -19.90   -14.07           -3.50   -19.91   -14.07     0.004
   18.16   -10.35    -1.12           18.17   -10.36    -1.12     0.017
  -33.04   -27.90   -28.93          -33.04   -27.90   -28.93     0.002
  -42.52   -18.93   -32.60          -42.51   -18.93   -32.60     0.007
   14.89    20.72    40.69           14.89    20.72    40.69     0.006
   26.18    -9.69    -4.75           26.17    -9.72    -4.74     0.035
  -36.45   -21.89   -18.17          -36.45   -21.88   -18.17     0.002
  -13.25    11.51    25.79          -13.24    11.52    25.79     0.011
  -44.12   -15.15   -35.63          -44.12   -15.15   -35.64     0.008
   -5.25    -6.91   -43.10           -5.25    -6.91   -43.10     0.006
