150 PA5-B-Debug-Output.txt 6
   -7.0797   -71.2461     4.4465  -116.0455   -62.0962    51.9697
   -1.07     8.97   -20.31           -1.08     8.95   -20.29     0.037
   -6.10     9.49    25.12           -6.16     9.50    25.12     0.068
   18.87     3.65    56.77           18.90     3.64    56.78     0.034
   18.91    -7.08    13.39           18.91    -7.08    13.39     0.008
  -15.27    -8.36     2.68          -15.28    -8.37     2.69     0.018
  -15.27     6.30   -36.58          -15.27     6.30   -36.58     0.002
   34.86    -4.43    -5.06           34.84    -4.40    -5.06     0.034
   22.95    -1.80   -30.22           22.99    -1.79   -30.18     0.058
   17.83    10.23   -23.87           17.83    10.23   -23.87     0.003
  -18.04   -32.31   -34.49          -18.04   -32.31   -34.49     0.010
  -45.65   -11.76   -20.61          -45.65   -11.76   -20.61     0.007
   14.58    23.98   -30.21           14.55    23.99   -30.21     0.033
  -37.97   -26.57   -29.72          -37.98   -26.58   -29.72     0.010
   -5.90    -0.83    62.21           -5.90    -0.83    62.19     0.015
  -21.78   -11.04   -46.72          -21.78   -11.05   -46.74     0.020
   14.41    -7.17    19.27           13.92    -7.22    19.72     0.662
   -0.37    28.52    12.64           -0.20    28.46    12.70     0.193
    9.96    28.11     1.72            9.96    28.12     1.71     0.009
  -33.15   -11.74    -4.19          -33.14   -11.74    -4.20     0.011
  -39.94    -7.21    -9.00          -39.93    -7.23    -9.02     0.030
   -2.17   -26.04   -22.70           -2.17   -26.04   -22.70     0.003
   -9.26     6.17   -33.58           -9.27     6.16   -33.57     0.020
   10.44    -7.31    58.27           10.46    -7.34    58.27     0.032
  -12.55    10.25   -32.31          -12.56    10.22   -32.29     0.040
   15.34    -7.49    16.45           15.59    -7.53    15.69     0.800
   -7.14     4.81    24.97           -7.17     4.82    24.97     0.041
   19.56    -1.18    35.42           19.60    -1.21    35.43     0.049
  -11.10   -26.07   -39.74          -11.10   -26.07   -39.74     0.001
  -16.33    -5.93     2.19          -16.33    -5.93     2.20     0.004
  -20.05   -34.40   -18.03          -20.05   -34.39   -18.03     0.001
   21.20    24.70   -29.91           21.19    24.69   -29.88     0.041
   -9.29   -30.40   -32.57           -9.30   -30.39   -32.56     0.013
   19.22    29.27   -21.13           19.22    29.27   -21.13     0.007
   35.79    15.58     5.24           35.80    15.59     5.24     0.011
    7.86    -8.53    30.29            7.86    -8.52    30.29     0.003
   15.27    14.67   -16.58           15.27    14.66   -16.57     0.005
   -7.00   -20.72   -40.91           -7.00   -20.72   -40.90     0.012
   14.41    -6.34    29.95           14.41    -6.35    29.95     0.011
   -6.57    27.28    29.85           -6.57    27.27    29.84     0.018
   -6.26    17.19    36.15           -6.26    17.19    36.15     0.000
  -40.37     1.56   -21.44          -40.46     1.50   -21.54     0.137
    2.51    18.76    48.20            2.51    18.75    48.20     0.016
  -26.93   -34.78   -22.42          -26.93   -34.78   -22.42     0.000
   30.49     4.80    15.86           30.51     4.78    15.88     0.036
   36.56     1.08     9.40           36.57     1.10     9.45     0.060
   -9.91   -14.95     0.60           -9.91   -14.96     0.61     0.008
   -0.37    29.04    13.11           -0.16    28.96    13.18     0.237
  -13.25   -15.17   -45.76          -13.25   -15.17   -45.76     0.001
   -6.85     1.04    46.13           -6.86     1.21    46.35     0.281
   -5.44   -28.77   -19.98           -5.44   -28.77   -19.98     0.010
   -0.54   -12.37    11.97           -0.54   -12.37    11.97     0.004
   14.76     1.85    62.12           14.76     1.85    62.11     0.013
   13.62   -10.03     6.62           13.62   -10.03     6.62     0.001
   24.05    -8.68   -24.24           24.06    -8.64   -24.22     0.047
    0.45   -11.10   -24.58            0.45   -11.11   -24.58     0.007
    6.16    21.15    40.43            6.15    21.13    40.43     0.021
   40.50     3.13    -4.33           40.49     3.13    -4.33     0.006
    1.41   -11.22    19.58            1.41   -11.20    19.58     0.022
  -31.05   -30.69   -32.71          -31.06   -30.70   -32.72     0.019
  -35.62   -29.23   -17.78          -35.62   -29.23   -17.78     0.005
   27.53    -9.80     5.07           27.53    -9.79     5.06     0.012
    0.18    -1.22   -25.89            0.17    -1.22   -25.89     0.005
   29.67    -6.79   -25.59           29.67    -6.78   -25.57     0.024
    0.58   -12.92     9.20            0.58   -12.92     9.20     0.002
   -6.97     5.60   -28.95           -6.99     5.58   -28.94     0.035
  -41.05   -11.54   -36.40          -41.07   -11.55   -36.41     0.022
   22.36     1.56    30.73           22.40     1.53    30.75     0.051
   28.10    12.62    21.39           28.11    12.62    21.39     0.006
   -6.18    -5.55    32.74           -6.19    -5.56    32.74     0.018
   -0.89     0.79    62.51           -0.88     0.78    62.49     0.021
   -8.75   -23.44    -9.07           -8.75   -23.44    -9.06     0.004
   11.80    11.00    63.14           11.80    11.00    63.12     0.023
   -6.19     5.19    47.49           -6.23     5.20    47.49     0.042
    2.97    22.36     5.12            2.96    22.37     5.10     0.023
    5.10    13.02   -13.09            5.10    13.00   -13.08     0.018
   -2.72    17.18     8.20           -2.79    17.19     8.15     0.079
   25.28     4.55   -32.96           25.31     4.56   -32.92     0.047
    2.18    13.00    62.31            2.18    12.99    62.31     0.004
  -14.16   -32.30   -16.26          -14.16   -32.29   -16.26     0.007
  -29.29     5.50   -35.30          -29.29     5.50   -35.30     0.002
   -8.69   -17.75    -5.32           -8.67   -17.78    -5.30     0.038
  -20.08   -12.01    -1.66          -20.08   -12.02    -1.66     0.005
  -34.31     5.68   -28.31          -34.31     5.68   -28.31     0.003
   -7.47   -13.68     4.12           -7.47   -13.69     4.13     0.014
   22.08    -6.47    14.52           22.08    -6.46    14.52     0.011
   22.92    -8.11    10.80           22.96    -8.07    10.78     0.054
    5.48    27.54     7.98            5.46    27.55     7.96     0.032
  -18.72   -33.97   -14.45          -18.72   -33.97   -14.45     0.001
   -7.44    -4.77    61.86           -7.44    -4.77    61.86     0.002
   12.00    -7.00    40.33           12.01    -7.02    40.33     0.022
  -26.40     9.99   -29.23          -26.40    10.00   -29.23     0.004
   20.50   -10.87    -1.84           20.50   -10.88    -1.84     0.007
   11.31    20.65    41.93           11.31    20.68    41.93     0.023
  -31.74   -28.92   -11.65          -31.74   -28.91   -11.66     0.003
   -2.60   -11.00   -32.85           -2.57   -10.98   -32.85     0.027
   17.12    26.27    18.60           17.12    26.28    18.61     0.010
  -28.50     3.96   -37.96          -28.51     3.97   -37.97     0.015
  -36.84   -24.67   -11.10          -36.84   -24.67   -11.10     0.003
   -1.84   -10.53    45.80           -1.82   -10.51    45.80     0.025
   -8.76     5.04    11.98           -8.80     5.06    11.98     0.048
   21.93    -5.39    17.03           21.94    -5.40    17.04     0.015
   -6.62    -4.93    43.53           -6.63    -4.93    43.53     0.011
   -5.27     9.62    -2.11           -5.19     9.64    -2.35     0.250
   21.09     8.80    44.29           21.11     8.81    44.29     0.019
   35.48    -4.56   -11.27           35.47    -4.53   -11.28     0.035
   13.48    -9.77   -20.51           13.47    -9.74   -20.49     0.042
   -2.67   -13.66     4.74           -2.67   -13.66     4.74     0.002
   16.99    27.63   -15.85           16.98    27.65   -15.86     0.023
   22.48     5.01    34.81           22.52     5.00    34.82     0.039
   15.33    24.17   -15.05           15.28    24.17   -15.06     0.047
   23.52    11.76   -32.07           23.54    11.76   -32.04     0.035
    6.33   -10.99    13.90            6.32   -10.98    13.89     0.012
    0.31    11.71   -11.82            0.31    11.71   -11.82     0.001
   -8.21     0.79   -37.54           -8.22     0.78   -37.54     0.014
