150 PA5-C-Debug-Output.txt 6
  -29.4268   -20.4338   -20.3675   -38.8834   -94.3772    68.2627
   -2.32    -9.00    47.01           -2.32    -9.00    47.01     0.003
  -13.56    27.38    25.50          -13.60    27.40    25.50     0.046
  -11.14     1.33   -40.88          -11.14     1.31   -40.86     0.023
  -40.71   -17.87   -15.55          -40.70   -17.87   -15.56     0.016
   32.96    11.80    14.17           32.96    11.80    14.17     0.004
  -43.55    -8.83   -19.48          -43.55    -8.83   -19.48     0.001
  -36.25    -2.91   -37.34          -36.22    -2.93   -37.32     0.038
  -36.36   -18.61   -10.11          -36.35   -18.60   -10.12     0.008
   13.38   -16.18   -13.68           13.40   -16.10   -13.65     0.086
   36.87     5.20   -10.93           36.84     5.19   -10.91     0.038
   -8.36   -23.73   -11.75           -8.34   -23.74   -11.72     0.038
   -9.03    15.43    25.31           -9.00    15.45    25.30     0.036
    0.45    25.57     9.97            0.46    25.56     9.99     0.026
  -17.73     0.91   -44.33          -17.73     0.90   -44.32     0.015
   13.89    21.44    34.66           13.89    21.43    34.66     0.010
  -38.83    -0.65   -31.87          -38.82    -0.65   -31.87     0.005
  -10.53   -14.16     0.40          -10.61   -14.24     0.30     0.151
   -3.05    -4.15   -29.82           -3.05    -4.15   -29.82     0.003
   28.16    20.37    12.53           28.16    20.36    12.53     0.011
   38.68     3.40     9.26           38.68     3.40     9.26     0.002
  -30.87     6.19   -31.96          -30.86     6.17   -31.95     0.026
   19.90    18.63    38.67           19.87    18.60    38.67     0.035
  -37.05   -26.19   -21.50          -37.03   -26.17   -21.50     0.025
   -7.27    15.61    11.56           -7.25    15.60    11.58     0.029
   18.53    21.48    28.16           18.97    21.46    27.74     0.609
   36.14     0.86   -12.21           36.10     0.86   -12.19     0.047
   38.82    -0.64    -3.78           38.77    -0.62    -3.78     0.047
    3.75    23.76     2.56            3.76    23.75     2.57     0.022
    0.54    16.35    -2.08            0.55    16.33    -2.07     0.025
   -2.76    -6.57   -37.57           -2.75    -6.57   -37.58     0.014
    2.78   -10.06    52.05            2.67   -10.02    51.47     0.592
