150 PA5-D-Debug-Output.txt 6
 -138.6646  -148.2372   -68.9061   -50.6811    58.9616   -37.9000
   14.29    -5.82    46.82           14.28    -5.80    46.82     0.019
  -14.97    13.00   -18.25          -14.97    12.99   -18.25     0.015
   26.17   -10.25   -19.69           26.16   -10.25   -19.69     0.007
   -8.75     5.61    45.34           -8.77     5.61    45.34     0.020
    0.44     0.99   -24.93            0.44     0.99   -24.93     0.001
   -7.51    -4.06    20.73           -7.53    -4.08    20.73     0.023
   38.34    18.60    -9.37           38.33    18.59    -9.37     0.011
  -12.94    18.12    37.27          -12.93    18.12    37.27     0.002
  -38.48     8.28   -22.26          -38.48     8.28   -22.26     0.003
   -6.69    15.06    10.02           -6.69    15.06    10.02     0.003
   -9.18    17.05    41.31           -9.18    17.06    41.31     0.007
  -41.48    -9.07   -32.39          -41.49    -9.07   -32.39     0.005
   -8.99    17.05    14.21           -9.00    17.06    14.20     0.008
   34.21    21.60   -20.48           34.22    21.60   -20.48     0.003
  -22.24    10.80   -13.77          -22.24    10.78   -13.78     0.020
  -41.36    -5.64    -6.31          -41.37    -5.64    -6.31     0.014
    9.73   -11.89    21.05            9.74   -11.91    21.06     0.018
   19.48    -7.11    19.24           19.48    -7.11    19.24     0.009
   -7.02    -4.37    37.94           -7.06    -4.37    37.94     0.034
   22.26    -6.00    17.48           22.26    -6.00    17.48     0.003
  -15.67     1.49     5.03          -15.67     1.48     5.02     0.002
   14.49   -17.94     3.27           14.49   -17.96     3.27     0.022
    0.27   -24.75   -22.20            0.26   -24.75   -22.20     0.005
   -1.71    -6.80   -32.41           -1.72    -6.80   -32.40     0.012
   19.48    21.90    29.40           19.47    21.88    29.39     0.023
   32.00    -4.71   -22.55           31.99    -4.71   -22.54     0.006
   10.22    27.43    -2.59           10.22    27.43    -2.59     0.006
   14.08    24.35   -11.36           14.09    24.36   -11.36     0.010
  -34.26   -28.73   -30.47          -34.26   -28.73   -30.47     0.004
  -37.27     6.69   -12.08          -37.27     6.69   -12.08     0.003
   22.23   -18.28   -12.24           22.23   -18.28   -12.23     0.014
  -38.13   -18.15    -6.87          -38.13   -18.15    -6.87     0.001
  -34.02    10.27   -30.55          -34.02    10.26   -30.55     0.007
   -6.35    22.89    24.28           -6.35    22.90    24.28     0.012
    6.89   -15.82   -19.94            6.87   -15.81   -19.93     0.017
   -6.70    14.32    50.81           -6.71    14.32    50.81     0.004
   32.99    16.41   -27.20           32.98    16.41   -27.19     0.012
   33.01    -0.46   -24.74           33.01    -0.46   -24.74     0.000
    3.95    -1.30   -24.29            3.95    -1.30   -24.29     0.001
    8.63   -18.19   -13.12            8.63   -18.18   -13.11     0.011
  -28.27   -15.77    -3.10          -28.27   -15.76    -3.12     0.012
   20.36     0.76    37.72           20.33     0.76    37.71     0.025
   -0.56    18.06    50.12           -0.56    18.05    50.12     0.014
   34.29    16.81    12.61           34.29    16.81    12.61     0.003
   -1.54    19.79    41.92           -1.54    19.79    41.92     0.005
   -6.27   -19.33    -3.42           -6.27   -19.33    -3.42     0.000
   15.07    31.14     6.53           15.07    31.13     6.53     0.010
   26.36    -8.26   -22.78           26.35    -8.26   -22.78     0.008
