400 PA5-F-Debug-Output.txt 6
 -107.1716    15.4105   -60.8640  -142.7225   -72.1615   -49.8881
   27.17    -2.21   -27.51           27.17    -2.21   -27.51     0.002
   18.36     1.34    40.34           18.28     1.38    40.33     0.089
  -27.98   -35.02   -21.66          -28.01   -35.08   -21.64     0.068
  -38.28   -12.84   -44.24          -38.38   -12.84   -44.28     0.106
   -3.11   -12.09   -34.75           -3.04   -12.07   -34.76     0.078
   12.54    28.71    21.67           12.54    28.73    21.67     0.020
  -24.79    -8.54    -4.33          -24.77    -8.55    -4.39     0.069
   14.11   -17.35    -2.98           14.05   -17.26    -3.09     0.154
   16.68    -9.46     8.80           16.73    -9.54     8.84     0.103
    3.15   -11.49    17.65            3.12   -11.54    17.68     0.064
  -41.22   -20.58   -33.06          -41.19   -20.57   -33.04     0.038
   19.71    16.92    37.53           19.76    16.93    37.55     0.057
    9.54    22.81    36.67            9.61    22.90    36.74     0.136
  -28.97     0.44    -9.56          -28.98     0.47    -9.53     0.044
   13.78    -3.88    55.15           13.84    -3.92    55.15     0.072
   -0.02   -10.03    15.96           -0.04   -10.04    15.97     0.027
    2.90    27.73    28.67            2.81    27.59    28.67     0.169
   28.85    -6.15   -24.55           28.85    -6.15   -24.55     0.002
   -9.49    21.28    39.32           -9.48    21.30    39.30     0.029
   18.49     1.12    36.03           18.58     1.08    36.04     0.101
   36.75     3.21   -11.22           36.73     3.21   -11.22     0.016
   26.65   -13.06    -5.01           26.65   -13.06    -5.01     0.000
   20.88    16.31    33.81           20.99    16.32    33.84     0.114
    6.07     1.49   -20.31            6.09     1.51   -20.37     0.060
  -19.26   -14.65   -52.21          -19.25   -14.67   -52.27     0.060
  -32.94   -16.41    -5.48          -32.93   -16.41    -5.50     0.025
   -6.73     7.92    13.17           -6.72     7.92    13.17     0.006
  -27.66   -32.98   -15.53          -27.60   -32.92   -15.56     0.097
  -32.02     8.66   -35.73          -31.99     8.55   -35.69     0.126
  -35.29   -18.19   -45.66          -35.24   -18.18   -45.63     0.051
    8.06   -18.80    -3.36            8.02   -18.90    -3.36     0.110
  -30.86   -25.79    -7.86          -30.88   -25.81    -7.82     0.047
   11.93    -7.43    27.64           11.87    -7.28    27.62     0.165
    7.36     1.21    58.37            7.32     1.22    58.31     0.068
    8.80   -18.85    -4.02            8.77   -19.02    -4.04     0.175
   32.94     0.27   -21.21           32.91     0.28   -21.20     0.029
    5.07    12.09    57.98            5.07    12.09    57.93     0.047
  -31.65   -28.55   -11.53          -31.66   -28.56   -11.52     0.013
    0.75    -9.73   -26.14            0.71    -9.73   -26.11     0.050
   -5.59    24.94    17.02           -5.61    24.96    17.00     0.039
    0.81   -12.29    10.74            0.84   -12.34    10.78     0.071
   34.11    14.31   -11.29           34.18    14.33   -11.27     0.070
  -16.21   -25.15    -6.36          -16.21   -25.15    -6.38     0.018
    4.13   -16.17     0.55            4.12   -16.21     0.58     0.047
   -4.04   -23.37    -7.12           -4.03   -23.38    -7.16     0.040
   21.85    22.67    23.37           21.84    22.66    23.37     0.008
    9.12    -8.24    32.81            9.01    -8.05    32.78     0.216
   -4.86   -12.50     4.37           -4.85   -12.49     4.36     0.018
    8.59   -18.09     1.59            8.56   -18.13     1.62     0.053
   31.38    -0.67     8.14           31.39    -0.68     8.15     0.017
   15.78    -7.03    16.05           15.82    -7.10    16.06     0.079
   26.85    18.44    17.41           26.66    18.30    17.29     0.268
   12.11    29.57     5.20           12.17    29.50     5.20     0.091
    1.39   -11.65    13.42            1.32   -11.77    13.42     0.142
  -25.04     5.84   -44.28          -25.05     5.90   -44.35     0.096
  -41.79   -19.23   -15.69          -41.80   -19.24   -15.68     0.016
   19.33    15.14    40.00           19.32    15.14    40.00     0.007
   16.85   -18.42    -9.67           16.85   -18.45    -9.69     0.028
   25.76    24.50     8.97           25.79    24.51     8.97     0.027
  -13.20   -24.42   -46.78          -13.20   -24.44   -46.82     0.045
  -22.57   -17.85    -4.49          -22.57   -17.85    -4.47     0.018
   -4.11     4.82    45.41           -4.04     4.81    45.42     0.071
  -16.48   -20.74    -5.19          -16.45   -20.76    -5.15     0.050
   14.95    15.66    55.17           14.83    15.58    55.13     0.152
  -15.92     1.56    -1.02          -15.73     1.47    -1.12     0.243
    5.43   -19.43    -5.20            5.40   -19.35    -5.22     0.084
   14.94    30.79     2.49           14.94    30.80     2.48     0.002
    1.10   -10.11    50.43            1.13   -10.06    50.43     0.060
   16.29   -17.72   -11.18           16.29   -17.78   -11.20     0.058
  -25.03   -31.19   -39.59          -25.02   -31.12   -39.56     0.081
    5.26    17.83    52.74            5.29    17.70    52.70     0.142
  -15.12    13.38   -38.04          -15.12    13.42   -38.05     0.037
   16.91    25.38    28.27           16.90    25.47    28.33     0.111
  -29.86     1.73   -10.92          -29.85     1.67   -10.97     0.084
  -29.96   -13.56    -4.30          -29.96   -13.56    -4.34     0.038
   -8.53   -21.12   -43.73           -8.52   -21.12   -43.74     0.011
  -16.42   -34.90   -23.59          -16.41   -34.95   -23.58     0.045
  -17.77    -2.18    -1.43          -17.78    -2.18    -1.42     0.026
   12.99   -17.79   -10.26           12.99   -17.86   -10.30     0.078
    5.96    -9.50    49.79            5.97    -9.54    49.79     0.046
  -15.19   -22.45    -6.51          -15.22   -22.43    -6.58     0.072
   -7.19    -6.40    11.50           -7.20    -6.40    11.50     0.007
   21.71     4.99    28.40           21.61     5.03    28.38     0.103
   -4.48     4.40    50.99           -4.69     4.45    50.99     0.215
    6.95    21.36    45.54            6.89    21.19    45.46     0.200
   -7.27     5.66    12.95           -7.19     5.64    12.94     0.090
   14.94     4.26   -23.76           14.86     4.31   -23.85     0.136
   25.85    13.23    21.16           26.05    13.16    21.29     0.246
   23.28    20.08    23.11           23.31    20.09    23.12     0.030
   -7.16    -4.54    13.61           -7.19    -4.54    13.62     0.024
   -6.05   -24.23    -7.62           -6.07   -24.23    -7.57     0.060
  -23.92   -18.31   -50.84          -23.91   -18.29   -50.78     0.069
   14.84   -11.83     5.92           14.86   -11.88     5.94     0.062
   -1.49    -6.89    34.45           -1.32    -6.80    34.47     0.196
   18.84    10.62    46.34           18.86    10.63    46.34     0.028
    4.78    22.04     8.34            4.71    22.09     8.28     0.102
    5.87   -11.23    19.34            5.88   -11.29    19.35     0.059
   25.08   -14.38   -14.14           25.11   -14.39   -14.15     0.035
    2.85    -9.85    22.77            2.85    -9.93    22.78     0.078
