150 PA5-G-Unknown-Output.txt 6
  -95.1897   159.3554   -79.7713   -79.0865   124.2633   142.7077
  -33.71     5.96   -33.50          -33.71     5.96   -33.50     0.003
   11.38    23.42    -5.43           11.32    23.41    -5.47     0.073
   13.36    -2.04    30.15           13.22    -2.04    30.24     0.170
  -32.74    -0.23   -44.74          -32.74    -0.23   -44.74     0.005
  -22.05     7.41   -37.12          -22.06     7.35   -37.13     0.056
    6.41    24.82    20.64            6.41    24.88    20.65     0.062
   18.50    24.87    55.64           18.42    24.79    55.67     0.122
   18.61    24.98    56.66           18.59    24.95    56.67     0.029
  -17.17     6.61   -38.69          -17.16     6.61   -38.70     0.013
   28.47    -5.37    16.88           28.49    -5.39    16.89     0.022
   15.49     6.68   -19.53           15.43     6.66   -19.57     0.071
   -5.52   -13.89   -38.05           -5.50   -13.87   -38.05     0.030
  -27.09   -14.13   -13.12          -27.08   -14.13   -13.15     0.033
   16.61   -15.28    -2.97           16.55   -15.20    -2.99     0.108
   35.67    -1.79     2.54           35.67    -1.80     2.53     0.009
    6.11    20.02     7.30            6.07    20.04     7.28     0.045
    1.24    17.73    17.47            1.19    17.73    17.44     0.059
    0.81    -8.20    34.94            0.81    -8.20    34.94     0.004
    1.70    21.39    46.91            1.75    21.36    46.90     0.055
  -11.82     4.63   -36.81          -11.82     4.62   -36.80     0.015
   34.82     2.07    -1.87           34.85     2.08    -1.88     0.039
   19.83    -6.64    -0.17           19.79    -6.68    -0.19     0.063
   17.35   -14.90    -4.67           17.38   -14.91    -4.69     0.042
  -18.50   -31.23   -37.70          -18.49   -31.24   -37.70     0.010
  -22.02   -14.80   -51.47          -22.03   -14.81   -51.48     0.019
   -3.90     1.95    25.30           -3.89     1.95    25.29     0.017
   -1.28    14.18    54.78           -1.29    14.18    54.78     0.006
    8.51     0.36    60.12            8.50     0.34    60.09     0.029
    2.09    12.38    60.95            2.12    12.39    60.91     0.051
  -31.86   -19.17   -13.91          -31.86   -19.17   -13.94     0.035
  -14.37    -1.44    -2.03          -14.36    -1.45    -2.04     0.018
  -40.11    -0.57   -25.73          -40.13    -0.56   -25.73     0.023
   20.77    -9.48    11.68           20.82    -9.47    11.66     0.051
   28.26    21.36    -2.35           28.25    21.35    -2.36     0.017
   31.47    16.22    -2.51           31.52    16.27    -2.54     0.077
   21.96    18.22   -25.37           21.99    18.24   -25.40     0.050
   18.11   -12.26    -4.15           18.18   -12.25    -4.16     0.064
   13.74    13.79   -11.00           13.78    13.74   -11.04     0.078
   28.29     7.15   -23.14           28.33     7.18   -23.16     0.062
  -40.23    -3.76   -34.63          -40.29    -3.75   -34.64     0.062
  -18.48   -21.80   -48.25          -18.48   -21.80   -48.25     0.004
    9.90    20.30    -3.56            9.85    20.30    -3.58     0.049
  -11.94   -19.74   -48.44          -11.95   -19.73   -48.42     0.020
  -24.05   -26.31   -14.97          -24.06   -26.28   -14.99     0.034
   -6.63    -8.30   -44.20           -6.66    -8.31   -44.21     0.034
   -6.71    -7.06   -43.54           -6.76    -7.05   -43.54     0.049
   24.31    12.95    26.67           24.35    12.95    26.68     0.039
   -0.08    -7.11    45.96           -0.08    -7.12    45.96     0.004
  -33.15   -28.95   -23.06          -33.15   -28.95   -23.07     0.012
    1.53   -10.88    16.01            1.53   -10.83    16.01     0.045
   18.01    14.76   -20.66           18.00    14.76   -20.66     0.011
   18.54    22.98    15.05           18.54    22.99    15.05     0.007
   -2.50   -10.89    14.07           -2.49   -10.87    14.06     0.022
  -19.03   -23.09   -47.53          -19.02   -23.11   -47.54     0.019
    6.93    -1.17    61.61            6.93    -1.16    61.59     0.022
  -26.97   -14.04   -13.08          -26.96   -14.05   -13.11     0.034
    8.08    26.40     4.23            8.08    26.45     4.23     0.044
  -21.82     1.89   -16.18          -21.80     1.86   -16.22     0.051
    6.85    -8.70    23.64            6.82    -8.66    23.63     0.043
