400 PA5-J-Unknown-Output.txt 6
   -5.2233  -144.3944   -56.9463  -132.4624    15.9336  -108.1303
  -41.42   -18.05   -35.46          -41.40   -18.04   -35.46     0.015
   34.20    -3.30   -29.99           34.23    -3.33   -29.96     0.053
  -17.82    10.64   -11.82          -17.79    10.59   -11.86     0.067
    6.10    20.85    29.09            6.11    20.84    29.09     0.008
  -36.01    -2.12   -43.63          -36.06    -2.10   -43.71     0.104
  -22.96   -26.89    -3.67          -22.97   -26.86    -3.69     0.032
  -37.83    -2.37   -42.64          -37.86    -2.36   -42.68     0.049
   -5.31     8.64   -25.92           -5.32     8.63   -25.92     0.004
   23.44    -7.11   -27.55           23.43    -7.12   -27.56     0.017
  -14.47   -16.50    -1.23          -14.47   -16.51    -1.22     0.010
  -37.09     4.99   -36.97          -37.10     5.00   -36.97     0.015
   -8.97   -30.18   -29.25           -8.89   -30.24   -29.28     0.105
   17.53    26.76   -34.04           17.46    26.83   -34.10     0.111
    1.52    -9.66    26.63            1.52    -9.61    26.63     0.048
   -2.48   -24.69   -27.08           -2.46   -24.72   -27.09     0.036
  -15.20    18.20    13.99          -15.25    18.22    13.90     0.108
   31.73    25.58    -3.56           31.79    25.64    -3.56     0.081
   19.54     4.22   -27.91           19.54     4.24   -27.86     0.052
  -15.02   -29.65   -35.58          -15.01   -29.69   -35.61     0.048
    3.58   -20.43    -6.42            3.58   -20.43    -6.44     0.026
   -6.85     8.59    -4.49           -6.83     8.54    -4.49     0.054
   42.07     5.53   -18.46           42.13     5.52   -18.48     0.062
  -14.39    18.09   -23.36          -14.42    17.98   -23.37     0.117
   40.10    11.24    -0.45           40.19    11.25    -0.42     0.095
    3.41    21.86     6.87            3.50    21.76     6.90     0.137
  -41.11    -6.60   -40.27          -41.13    -6.60   -40.29     0.029
    1.09     3.94    61.97            1.21     3.67    61.95     0.298
   -9.16     7.58   -34.59           -9.25     7.55   -34.57     0.104
  -42.58   -17.94   -18.33          -42.61   -17.94   -18.33     0.026
   11.99     8.25    61.49           11.99     8.25    61.50     0.008
   -6.53    -0.95    61.12           -6.54    -0.95    61.16     0.046
  -11.86   -27.43   -37.51          -11.86   -27.44   -37.52     0.006
  -32.90    11.32   -16.19          -32.88    11.29   -16.20     0.031
    9.29    20.72    52.53            9.37    20.60    52.52     0.147
   26.48   -14.38    -4.77           26.44   -14.37    -4.80     0.052
   -1.81   -23.89    -3.94           -1.78   -23.92    -3.91     0.048
  -32.33   -33.44   -26.35          -32.27   -33.34   -26.34     0.124
   -4.42    -6.40   -33.53           -4.44    -6.45   -33.56     0.061
   11.09   -11.92   -22.36           11.09   -11.89   -22.28     0.086
   -8.95    14.89    12.33           -8.95    14.89    12.32     0.009
  -10.34     0.96    55.47          -10.31     0.96    55.47     0.027
  -41.61     6.45   -23.73          -41.58     6.44   -23.72     0.024
  -37.07   -29.53   -24.80          -37.00   -29.48   -24.78     0.090
   36.07     3.77   -27.70           36.12     3.76   -27.72     0.054
  -16.85   -33.84   -17.97          -16.84   -33.90   -17.97     0.064
    1.45    -9.08    43.56            1.44    -9.11    43.56     0.026
  -42.74    -5.69    -7.28          -42.74    -5.69    -7.28     0.007
   21.14    16.80    28.54           21.00    16.79    28.50     0.145
   -2.11    16.44    40.81           -2.11    16.45    40.83     0.024
    9.97    -6.76   -23.55            9.93    -6.73   -23.48     0.090
   22.14    19.94   -34.37           22.16    19.95   -34.41     0.048
    9.42    24.63    18.97            9.37    24.73    18.99     0.121
  -23.71    13.56   -32.96          -23.71    13.53   -32.94     0.033
   18.58     4.29    35.88           18.52     4.30    35.87     0.060
   17.05   -15.13   -17.87           17.04   -15.15   -17.85     0.028
   -0.22   -24.76    -6.28           -0.25   -24.74    -6.30     0.046
  -13.98   -32.87   -28.55          -13.97   -32.93   -28.56     0.058
   38.66     3.38     3.50           38.69     3.36     3.54     0.056
   33.13    -7.75   -11.71           33.12    -7.75   -11.72     0.006
  -18.84   -34.63   -23.29          -18.84   -34.62   -23.29     0.007
   -4.68    23.06    30.62           -4.74    22.95    30.61     0.124
   22.75   -19.85    -3.18           22.75   -19.86    -3.18     0.002
   17.54   -15.75   -18.13           17.54   -15.76   -18.12     0.004
    6.09   -21.26   -21.64            6.09   -21.27   -21.64     0.005
   32.24    -7.37   -10.16           32.22    -7.36   -10.18     0.030
   14.50   -14.12     7.82           14.51   -14.13     7.82     0.017
   16.55    27.97    11.96           16.56    27.90    11.92     0.082
