150 PA5-K-Unknown-Output.txt 6
   54.0579   153.7057   -60.6683     9.1521   114.6462   -43.4516
   -4.34     9.77    54.78           -4.28     9.77    54.78     0.060
   19.04   -12.51     2.01           19.04   -12.51     2.01     0.005
   14.87     5.00   -19.04           14.88     4.99   -19.03     0.014
  -20.86    12.40   -35.82          -20.86    12.40   -35.82     0.000
   17.47    21.01   -15.80           17.48    20.98   -15.80     0.033
    8.09    19.00    24.27            8.10    18.98    24.27     0.025
   14.16   -16.87   -12.84           14.16   -16.89   -12.84     0.015
   -4.00    13.90    32.39           -3.98    13.86    32.40     0.039
   -7.95    13.14    36.78           -7.94    13.12    36.79     0.023
    8.02     2.81    68.93            8.02     2.82    68.94     0.017
   23.10    16.49   -25.76           23.10    16.49   -25.75     0.010
   15.94    -7.68   -23.11           15.94    -7.69   -23.10     0.008
   19.00     5.64    53.80           19.01     5.64    53.80     0.006
    0.95     0.81    60.99            0.97     0.82    60.99     0.022
   24.79    20.81     7.20           24.79    20.80     7.20     0.012
  -28.98   -12.43    -9.34          -28.98   -12.43    -9.34     0.006
   11.07   -10.24    13.16           11.08   -10.26    13.17     0.018
    9.35    16.65    -8.67            9.38    16.64    -8.63     0.046
   21.21    -5.06   -23.45           21.21    -5.05   -23.43     0.017
    0.35    10.76    10.14            0.36    10.73    10.14     0.029
   32.97    -2.80   -21.75           32.97    -2.79   -21.75     0.004
  -13.07   -28.49   -36.33          -13.07   -28.49   -36.33     0.002
  -17.90    -0.46    -9.55          -17.90    -0.46    -9.56     0.007
  -12.52   -27.82   -23.75          -12.53   -27.81   -23.75     0.011
   28.77    19.34    -4.82           28.76    19.33    -4.82     0.006
  -40.58   -17.13   -27.83          -40.60   -17.12   -27.84     0.023
    8.87    19.67    27.33            8.88    19.66    27.33     0.021
  -40.02   -18.26   -38.39          -40.04   -18.27   -38.39     0.018
   33.90    -2.14    -3.39           33.90    -2.14    -3.39     0.008
    6.81    21.83    50.78            6.82    21.82    50.78     0.016
  -34.13   -25.91   -38.56          -34.13   -25.91   -38.56     0.003
  -29.38   -16.73   -50.38          -29.38   -16.74   -50.39     0.005
  -35.76     5.57   -24.90          -35.76     5.58   -24.89     0.011
  -39.01   -21.04   -32.40          -39.02   -21.05   -32.41     0.019
  -33.00     5.73   -43.50          -33.00     5.74   -43.50     0.013
   25.82    -6.65   -21.00           25.81    -6.64   -21.00     0.010
   35.60     0.74     0.62           35.59     0.74     0.62     0.017
   18.88    18.09    59.21           18.89    18.10    59.21     0.015
   -3.26    11.95    17.31           -3.22    11.93    17.32     0.048
   17.65    22.08    25.95           17.65    22.07    25.95     0.008
  -13.96     4.24    43.84          -13.92     4.25    43.82     0.042
   -4.35    15.01    42.04           -4.35    15.01    42.04     0.004
   21.54    17.06    28.22           21.55    17.06    28.23     0.012
   34.02    12.82    -8.12           34.00    12.80    -8.12     0.026
   10.05   -13.44    -2.90           10.04   -13.47    -2.89     0.030
    3.00   -11.67   -29.36            2.98   -11.67   -29.34     0.024
   29.56    -5.70    -8.90           29.55    -5.69    -8.90     0.009
   26.56    16.62    10.86           26.57    16.62    10.86     0.007
    8.71    20.03    35.17            8.72    20.01    35.17     0.027
  -34.28     0.88   -13.30          -34.29     0.89   -13.30     0.014
   15.01    25.70    55.34           15.03    25.72    55.34     0.020
   -3.01    11.54    19.61           -3.77    12.08    19.39     0.962
  -39.09   -18.56   -40.77          -39.09   -18.56   -40.77     0.005
   -5.03   -23.76   -21.52           -5.03   -23.77   -21.51     0.010
   30.03    -5.04   -18.80           30.03    -5.03   -18.79     0.004
   26.95     3.69    16.23           26.93     3.69    16.22     0.024
   14.24    -1.62    42.03           14.24    -1.61    42.03     0.010
   -7.16     5.99     3.59           -7.14     5.96     3.59     0.032
  -18.58     7.79   -44.67          -18.58     7.79   -44.67     0.001
  -33.61   -15.57   -49.14          -33.61   -15.56   -49.13     0.011
  -14.07    -0.40   -50.76          -14.07    -0.40   -50.76     0.005
   16.13    11.59   -28.26           16.14    11.60   -28.24     0.017
   30.78    -4.89   -14.58           30.78    -4.89   -14.58     0.002
  -25.78   -26.31   -43.60          -25.78   -26.31   -43.60     0.004
  -26.14   -24.33   -14.39          -26.14   -24.33   -14.38     0.013
   -1.32    -6.91    10.93           -1.32    -6.90    10.93     0.007
   16.21    21.81     9.44           16.22    21.81     9.44     0.008
  -31.54   -10.59    -9.53          -31.54   -10.59    -9.52     0.007
    0.91     7.39    -8.01            0.91     7.37    -8.00     0.012
  -25.47   -17.38   -10.14          -25.47   -17.39   -10.13     0.009
  -26.17   -24.11   -14.33          -26.18   -24.11   -14.31     0.012
   -9.44    -5.83     3.20           -9.43    -5.83     3.20     0.012
   29.26    -5.02   -23.90           29.26    -5.03   -23.90     0.005
  -29.00    -8.76   -52.42          -29.00    -8.75   -52.42     0.007
   -3.54     6.07    49.53           -3.50     6.10    49.52     0.044
   27.07    11.87    12.88           27.07    11.86    12.88     0.004
  -18.05     5.19   -15.54          -18.05     5.19   -15.54     0.002
   17.97    23.90    -2.24           17.97    23.88    -2.24     0.022
  -23.37   -30.29   -26.13          -23.37   -30.28   -26.13     0.005
   28.06    19.02     4.31           28.06    19.02     4.31     0.000
   -5.14    10.30    21.07           -5.12    10.27    21.08     0.037
   27.22    -1.50    13.46           27.23    -1.50    13.46     0.004
   -5.72     1.24   -37.83           -5.73     1.23   -37.82     0.007
  -12.25   -25.95   -42.20          -12.25   -25.94   -42.20     0.008
   -2.64    -4.65    18.05           -2.63    -4.64    18.04     0.012
   -4.17     6.32    47.65           -4.14     6.35    47.65     0.037
  -12.56     9.14   -31.04          -12.56     9.14   -31.04     0.006
   19.37    20.53    30.81           19.37    20.53    30.81     0.001
  -10.90     5.25   -12.65          -10.89     5.24   -12.66     0.012
  -17.98   -15.77    -8.64          -17.98   -15.78    -8.63     0.009
  -22.14   -31.08   -34.94          -22.14   -31.09   -34.94     0.004
   22.62    10.03    30.71           22.62    10.03    30.71     0.002
  -14.59     8.29    31.71          -14.54     8.29    31.75     0.066
